Month-Year,Australia,Belgium,Brazil,Canada,Chile,China,Cyprus,Denmark,Finland,France,Germany,Hong Kong SAR,India,Ireland,Israel,Italy,Luxembourg,Netherlands,New Zealand,Norway,Portugal,Singapore,South Africa,South Korea,Spain,Sweden,Switzerland,United Arab Emirates,United Kingdom,United States
2020-07-01,1.280679417,1.190803029,1.265657966,1.367563411,1.51005768,1.199781457,2.068499975,1.107584041,1.10122449,1.206272782,1.18052909,1.238103619,1.447878572,1.343149677,1.138726496,1.264937514,1.455179594,1.190432281,1.323127088,1.107205779,1.140351245,1.248798118,1.38428598,1.318610269,1.268290979,1.125358112,1.075303726,1.406911523,1.295312223,1.271514159
2020-08-01,1.292932887,1.169062372,1.266401397,1.370338164,1.539155601,1.238618406,1.636309565,1.113276384,1.098707969,1.203896599,1.194248823,1.28148943,1.47033849,1.312579346,1.151030158,1.2886025,1.511764335,1.216269754,1.363261834,1.111606602,1.168845033,1.264460073,1.383765441,1.347156732,1.263901005,1.099819378,1.090281191,1.437678412,1.295346165,1.277032998
2020-09-01,1.269346426,1.184124526,1.282398201,1.382608001,1.529102491,1.254000863,1.621553105,1.136050961,1.106016565,1.226243332,1.211983051,1.2409926,1.47997512,1.287111797,1.136770482,1.30279939,1.507198625,1.229497062,1.374864313,1.116744271,1.140893465,1.2653973,1.335871626,1.35385067,1.254734628,1.103193777,1.107533634,1.464124142,1.306261951,1.278687807
2020-10-01,1.256836959,1.173614276,1.28837729,1.383196433,1.506769339,1.266293126,1.6017971,1.148242924,1.098760538,1.228251094,1.22113241,1.232504646,1.493029547,1.295028412,1.152411242,1.292275536,1.475227095,1.241995441,1.398878912,1.126074338,1.140068605,1.244100678,1.357388608,1.322738097,1.260865566,1.120908323,1.136226582,1.447169187,1.307928123,1.290129364
2020-11-01,1.249981071,1.178618713,1.283055928,1.387897875,1.520297451,1.278086407,1.564419774,1.142832703,1.120076271,1.234716743,1.22502989,1.256646673,1.508697536,1.319038735,1.125130409,1.313326582,1.424384347,1.285025773,1.360350232,1.11942652,1.156318589,1.236751199,1.413266161,1.335002763,1.262755195,1.13775917,1.170880084,1.476249298,1.30867536,1.301817262
2020-12-01,1.235461889,1.20411156,1.30070638,1.400801846,1.556683241,1.277334455,1.548943848,1.145971719,1.110460399,1.252730302,1.21449419,1.25966047,1.513246375,1.299370181,1.114961482,1.34351012,1.342764517,1.283569681,1.31003869,1.147059015,1.20054929,1.254268576,1.436103195,1.302764815,1.26110927,1.132832466,1.160130875,1.524727412,1.296257475,1.311259366
2021-01-01,1.233162102,1.203566385,1.278530065,1.408985733,1.553085092,1.285751737,1.483618018,1.141798509,1.126900211,1.272718942,1.211379706,1.275913441,1.50160319,1.315353828,1.132064883,1.367538144,1.342932794,1.301142483,1.320119697,1.156771954,1.209974394,1.25626036,1.427663291,1.286342307,1.27147946,1.128991631,1.167372837,1.520152352,1.309915957,1.332976728
2021-02-01,1.222295863,1.203963611,1.282875716,1.408404427,1.49489397,1.244571956,1.489598724,1.152670549,1.14247854,1.28069905,1.225147111,1.290349641,1.503273776,1.363821581,1.140646502,1.378150479,1.390918362,1.302731527,1.317012523,1.175631484,1.226898519,1.245474978,1.395173685,1.296794732,1.277729556,1.15724253,1.170513141,1.522436485,1.307252755,1.340225601
2021-03-01,1.203054373,1.204294989,1.25459016,1.397999822,1.538290291,1.207974826,1.003520232,1.150049177,1.125866362,1.247024378,1.223094595,1.263594294,1.474215196,1.329177238,1.13411184,1.343204201,1.317693763,1.286841633,1.220139327,1.126080986,1.223848711,1.241879692,1.366482266,1.247504082,1.234457403,1.175457619,1.171744187,1.510275766,1.29084487,1.316336874
2021-04-01,1.187661218,1.13543139,1.207037356,1.33065455,1.415267427,1.173306334,0.978955591,1.150526363,1.121975104,1.18599989,1.198479546,1.211370945,1.362131264,1.233890031,1.092566918,1.290027587,1.380617727,1.252790988,1.162580431,1.148320809,1.18662317,1.222549004,1.396744242,1.199423441,1.176405288,1.213717463,1.171540638,1.491774205,1.235769935,1.259431533
2021-05-01,1.155840013,1.110323203,1.20551729,1.258296714,1.29421806,1.170886929,0.97370056,1.139813551,1.134383632,1.107333895,1.180224655,1.193177354,1.311742727,1.176260171,1.052097141,1.22782314,1.37339559,1.218871824,1.139734616,1.128579331,1.199385726,1.139301213,1.328530347,1.13154173,1.156370278,1.211505645,1.15692765,1.30293362,1.186216997,1.204782438
2021-06-01,1.196734226,1.091853488,1.207360901,1.224849851,1.277696709,1.141903139,0.952705215,1.103352976,1.148149129,1.074855875,1.173487019,1.165142203,1.295510081,1.126834977,1.04343106,1.20452266,1.260468985,1.204169616,1.162694605,1.133415212,1.20626516,1.118894087,1.27156383,1.124774136,1.161449741,1.230982041,1.165863266,1.287397651,1.159989567,1.167405921
2021-07-01,1.202989009,1.050664934,1.191012341,1.218548104,1.242078649,1.116712997,0.905598164,1.105789907,1.184236511,1.060562909,1.155895503,1.178957902,1.289599233,1.141133542,1.039645238,1.196044306,1.226992778,1.198356865,1.216488878,1.150169167,1.17074195,1.087802602,1.308911043,1.080930727,1.16329766,1.208035906,1.147489968,1.2381254,1.151011345,1.149019796
2021-08-01,1.200970095,1.051334577,1.192880749,1.208471565,1.192351416,1.096989902,1.00386476,1.098967817,1.184426981,1.059440828,1.147408598,1.145876936,1.24762032,1.150969982,1.046009024,1.183488245,1.171217369,1.198400691,1.18819168,1.143153747,1.135419374,1.056696999,1.298997634,1.05650423,1.158098825,1.219719117,1.146686582,1.187228728,1.155929096,1.139794141
2021-09-01,1.225320321,1.048964584,1.168073155,1.205305515,1.182985665,1.074653865,0.995806128,1.08999615,1.187782163,1.042444626,1.140720723,1.16049668,1.215500074,1.152853299,1.084543624,1.165967725,1.20020642,1.210063226,1.193086442,1.143287513,1.186531395,1.057741399,1.277243851,1.043510475,1.15660715,1.224945907,1.123401639,1.141493526,1.148800374,1.142396277
2021-10-01,1.231266321,1.036636503,1.154843527,1.211626362,1.149673931,1.055653441,0.977750385,1.067011597,1.192945687,1.047404,1.139113543,1.145579726,1.18597588,1.155090504,1.078431448,1.163652844,1.179651141,1.20508612,1.227660859,1.128476664,1.180940863,1.087049811,1.246257756,1.018313587,1.151636952,1.206127044,1.09126708,1.137421295,1.154873472,1.137267612
2021-11-01,1.237191483,1.022183829,1.136024182,1.206989826,1.125429806,1.075050115,0.961866918,1.06639324,1.167663337,1.037664365,1.133391352,1.125323004,1.142193398,1.120202873,1.086099602,1.136054945,1.158580553,1.196123293,1.268401114,1.110729525,1.178371757,1.08824014,1.200309947,0.980340748,1.143481735,1.220732598,1.059120357,1.109190939,1.154864507,1.12967146
2021-12-01,1.237072596,1.004707703,1.109223284,1.181141431,1.05443016,1.076877475,0.936456558,1.065708009,1.158635449,1.026479315,1.131043606,1.148492237,1.11279589,1.137529747,1.084089419,1.096780761,1.155945225,1.201050379,1.402775448,1.089648998,1.13601865,1.072365046,1.181164937,0.94377013,1.136114634,1.235925286,1.051955161,1.031860489,1.156794118,1.123195846
